#,Chrome,Page,Field,isPresent,Value,Size,Location
1,Chrome,index.php,First Name,TRUE,Elena,(386x42),(314x181)
2,Chrome,index.php,Last Name,TRUE,Nicolaeva,(386x42),(739x181)
3,Chrome,index.php,Email,TRUE,nicolaevaa113@gmail.com,(386x42),(314x261)
4,Chrome,index.php,Phone,TRUE,415 7679838,(386x42),(739x261)
1,Chrome,confirmation.php,First Name,TRUE,Elena,(77x42),(321x182)
2,Chrome,confirmation.php,Last Name,TRUE,Nicolaeva,(124x42),(746x182)
3,Chrome,confirmation.php,Email,TRUE,nicolaevaa113@gmail.com,(321x42),(321x266)
4,Chrome,confirmation.php,Phone,TRUE,415 7679838,(162x42),(746x266)
5,Chrome,confirmation.php,State,TRUE,,(10x42),(746x350)
6,Chrome,confirmation.php,Titlef,TRUE,Confirmation,(249x44),(320x77)
7,Chrome,confirmation.php,LabelFn,TRUE,First Name,(104x24),(321x157)
8,Chrome,confirmation.php,LabelLn,TRUE,Last Name,(103x24),(746x157)
9,Chrome,confirmation.php,LabelEa,TRUE,Email Address,(136x24),(321x241)
10,Chrome,confirmation.php,LabelPn,TRUE,Phone Number,(143x24),(746x241)
11,Chrome,confirmation.php,LabelRb,TRUE,Gender,(71x24),(321x325)
12,Chrome,confirmation.php,Gender,TRUE,,(10x42),(321x350)
13,Chrome,confirmation.php,LabelF,TRUE,State,(50x24),(746x325)
14,Chrome,confirmation.php,LabelCb,TRUE,Terms?,(70x24),(321x409)
15,Chrome,confirmation.php,Terms,TRUE,,(10x42),(321x434)
16,Chrome,confirmation.php,Button,TRUE,Back,(120x37),(746x500)
