#,Msedge,Page,Field,isPresent,Value,Size,Location
01,Msedge,index.php,First Name,true,Elena,(386x42),(314x181)
02,Msedge,index.php,Last Name,true,Nicolaeva,(386x42),(739x181)
03,Msedge,index.php,Email,true,nicolaevaa113@gmail.com,(386x42),(314x261)
04,Msedge,index.php,Phone,true,415 7679838,(386x42),(739x261)
01,Msedge,confirmation.php,First Name,true,Elena,(77x42),(321x182)
02,Msedge,confirmation.php,Last Name,true,Nicolaeva,(124x42),(746x182)
03,Msedge,confirmation.php,Email,true,nicolaevaa113@gmail.com,(321x42),(321x266)
04,Msedge,confirmation.php,Phone,true,415 7679838,(162x42),(746x266)
05,Msedge,confirmation.php,State,true,,(10x42),(746x350)
06,Msedge,confirmation.php,Titlef,true,Confirmation,(249x44),(320x77)
07,Msedge,confirmation.php,LabelFn,true,First Name,(104x24),(321x157)
08,Msedge,confirmation.php,LabelLn,true,Last Name,(103x24),(746x157)
09,Msedge,confirmation.php,LabelEa,true,Email Address,(136x24),(321x241)
10,Msedge,confirmation.php,LabelPn,true,Phone Number,(143x24),(746x241)
11,Msedge,confirmation.php,LabelRb,true,Gender,(71x24),(321x325)
12,Msedge,confirmation.php,Gender,true,,(10x42),(321x350)
13,Msedge,confirmation.php,LabelF,true,State,(50x24),(746x325)
14,Msedge,confirmation.php,LabelCb,true,Terms?,(70x24),(321x409)
15,Msedge,confirmation.php,Terms,true,,(10x42),(321x434)
16,Msedge,confirmation.php,Button,true,Back,(120x37),(746x500)
